ColumnName,ColumnType
ImageNumber,metadata
ObjectNumber,metadata
Metadata_CMPD,metadata
Metadata_CONC,metadata
Metadata_COND,metadata
Metadata_Channel,metadata
Metadata_Expt,metadata
Metadata_FieldID,metadata
Metadata_FileLocation,metadata
Metadata_Folder,metadata
Metadata_Frame,metadata
Metadata_Plate,metadata
Metadata_Plate.1,metadata
Metadata_PlateID,metadata
Metadata_Series,metadata
Metadata_WellID,metadata
Metadata_WellID.1,metadata
Metadata_path,metadata
Cell_AreaShape_Area,feature
Cell_AreaShape_BoundingBoxArea,feature
Cell_AreaShape_BoundingBoxMaximum_X,feature
Cell_AreaShape_BoundingBoxMaximum_Y,feature
Cell_AreaShape_BoundingBoxMinimum_X,feature
Cell_AreaShape_BoundingBoxMinimum_Y,feature
Cell_AreaShape_Center_X,metadata
Cell_AreaShape_Center_Y,metadata
Cell_AreaShape_CentralMoment_0_0,feature
Cell_AreaShape_CentralMoment_0_1,feature
Cell_AreaShape_CentralMoment_0_2,feature
Cell_AreaShape_CentralMoment_0_3,feature
Cell_AreaShape_CentralMoment_1_0,feature
Cell_AreaShape_CentralMoment_1_1,feature
Cell_AreaShape_CentralMoment_1_2,feature
Cell_AreaShape_CentralMoment_1_3,feature
Cell_AreaShape_CentralMoment_2_0,feature
Cell_AreaShape_CentralMoment_2_1,feature
Cell_AreaShape_CentralMoment_2_2,feature
Cell_AreaShape_CentralMoment_2_3,feature
Cell_AreaShape_Compactness,feature
Cell_AreaShape_ConvexArea,feature
Cell_AreaShape_Eccentricity,feature
Cell_AreaShape_EquivalentDiameter,feature
Cell_AreaShape_EulerNumber,feature
Cell_AreaShape_Extent,feature
Cell_AreaShape_FormFactor,feature
Cell_AreaShape_HuMoment_0,feature
Cell_AreaShape_HuMoment_1,feature
Cell_AreaShape_HuMoment_2,feature
Cell_AreaShape_HuMoment_3,feature
Cell_AreaShape_HuMoment_4,feature
Cell_AreaShape_HuMoment_5,feature
Cell_AreaShape_HuMoment_6,feature
Cell_AreaShape_InertiaTensorEigenvalues_0,feature
Cell_AreaShape_InertiaTensorEigenvalues_1,feature
Cell_AreaShape_InertiaTensor_0_0,feature
Cell_AreaShape_InertiaTensor_0_1,feature
Cell_AreaShape_InertiaTensor_1_0,feature
Cell_AreaShape_InertiaTensor_1_1,feature
Cell_AreaShape_MajorAxisLength,feature
Cell_AreaShape_MaxFeretDiameter,feature
Cell_AreaShape_MaximumRadius,feature
Cell_AreaShape_MeanRadius,feature
Cell_AreaShape_MedianRadius,feature
Cell_AreaShape_MinFeretDiameter,feature
Cell_AreaShape_MinorAxisLength,feature
Cell_AreaShape_NormalizedMoment_0_0,feature
Cell_AreaShape_NormalizedMoment_0_1,feature
Cell_AreaShape_NormalizedMoment_0_2,feature
Cell_AreaShape_NormalizedMoment_0_3,feature
Cell_AreaShape_NormalizedMoment_1_0,feature
Cell_AreaShape_NormalizedMoment_1_1,feature
Cell_AreaShape_NormalizedMoment_1_2,feature
Cell_AreaShape_NormalizedMoment_1_3,feature
Cell_AreaShape_NormalizedMoment_2_0,feature
Cell_AreaShape_NormalizedMoment_2_1,feature
Cell_AreaShape_NormalizedMoment_2_2,feature
Cell_AreaShape_NormalizedMoment_2_3,feature
Cell_AreaShape_NormalizedMoment_3_0,feature
Cell_AreaShape_NormalizedMoment_3_1,feature
Cell_AreaShape_NormalizedMoment_3_2,feature
Cell_AreaShape_NormalizedMoment_3_3,feature
Cell_AreaShape_Orientation,feature
Cell_AreaShape_Perimeter,feature
Cell_AreaShape_Solidity,feature
Cell_AreaShape_SpatialMoment_0_0,feature
Cell_AreaShape_SpatialMoment_0_1,feature
Cell_AreaShape_SpatialMoment_0_2,feature
Cell_AreaShape_SpatialMoment_0_3,feature
Cell_AreaShape_SpatialMoment_1_0,feature
Cell_AreaShape_SpatialMoment_1_1,feature
Cell_AreaShape_SpatialMoment_1_2,feature
Cell_AreaShape_SpatialMoment_1_3,feature
Cell_AreaShape_SpatialMoment_2_0,feature
Cell_AreaShape_SpatialMoment_2_1,feature
Cell_AreaShape_SpatialMoment_2_2,feature
Cell_AreaShape_SpatialMoment_2_3,feature
Cell_Children_Mito_spot_Count,feature
Cell_Children_droplets_Count,feature
Cell_Correlation_Correlation_Cellmask_DNA,feature
Cell_Correlation_Correlation_Cellmask_HNF4a,feature
Cell_Correlation_Correlation_Cellmask_MT,feature
Cell_Correlation_Correlation_Cellmask_lipid,feature
Cell_Correlation_Correlation_DNA_HNF4a,feature
Cell_Correlation_Correlation_DNA_MT,feature
Cell_Correlation_Correlation_DNA_lipid,feature
Cell_Correlation_Correlation_HNF4a_MT,feature
Cell_Correlation_Correlation_HNF4a_lipid,feature
Cell_Correlation_Correlation_MT_lipid,feature
Cell_Intensity_IntegratedIntensityEdge_Cellmask,feature
Cell_Intensity_IntegratedIntensityEdge_DNA,feature
Cell_Intensity_IntegratedIntensityEdge_HNF4a,feature
Cell_Intensity_IntegratedIntensityEdge_MT,feature
Cell_Intensity_IntegratedIntensityEdge_lipid,feature
Cell_Intensity_IntegratedIntensity_Cellmask,feature
Cell_Intensity_IntegratedIntensity_DNA,feature
Cell_Intensity_IntegratedIntensity_HNF4a,feature
Cell_Intensity_IntegratedIntensity_MT,feature
Cell_Intensity_IntegratedIntensity_lipid,feature
Cell_Intensity_LowerQuartileIntensity_Cellmask,feature
Cell_Intensity_LowerQuartileIntensity_DNA,feature
Cell_Intensity_LowerQuartileIntensity_HNF4a,feature
Cell_Intensity_LowerQuartileIntensity_MT,feature
Cell_Intensity_LowerQuartileIntensity_lipid,feature
Cell_Intensity_MADIntensity_Cellmask,feature
Cell_Intensity_MADIntensity_DNA,feature
Cell_Intensity_MADIntensity_HNF4a,feature
Cell_Intensity_MADIntensity_MT,feature
Cell_Intensity_MADIntensity_lipid,feature
Cell_Intensity_MassDisplacement_Cellmask,feature
Cell_Intensity_MassDisplacement_DNA,feature
Cell_Intensity_MassDisplacement_HNF4a,feature
Cell_Intensity_MassDisplacement_MT,feature
Cell_Intensity_MassDisplacement_lipid,feature
Cell_Intensity_MaxIntensityEdge_Cellmask,feature
Cell_Intensity_MaxIntensityEdge_DNA,feature
Cell_Intensity_MaxIntensityEdge_HNF4a,feature
Cell_Intensity_MaxIntensityEdge_MT,feature
Cell_Intensity_MaxIntensityEdge_lipid,feature
Cell_Intensity_MaxIntensity_Cellmask,feature
Cell_Intensity_MaxIntensity_DNA,feature
Cell_Intensity_MaxIntensity_HNF4a,feature
Cell_Intensity_MaxIntensity_MT,feature
Cell_Intensity_MaxIntensity_lipid,feature
Cell_Intensity_MeanIntensityEdge_Cellmask,feature
Cell_Intensity_MeanIntensityEdge_DNA,feature
Cell_Intensity_MeanIntensityEdge_HNF4a,feature
Cell_Intensity_MeanIntensityEdge_MT,feature
Cell_Intensity_MeanIntensityEdge_lipid,feature
Cell_Intensity_MeanIntensity_Cellmask,feature
Cell_Intensity_MeanIntensity_DNA,feature
Cell_Intensity_MeanIntensity_HNF4a,feature
Cell_Intensity_MeanIntensity_MT,feature
Cell_Intensity_MeanIntensity_lipid,feature
Cell_Intensity_MedianIntensity_Cellmask,feature
Cell_Intensity_MedianIntensity_DNA,feature
Cell_Intensity_MedianIntensity_HNF4a,feature
Cell_Intensity_MedianIntensity_MT,feature
Cell_Intensity_MedianIntensity_lipid,feature
Cell_Intensity_MinIntensityEdge_Cellmask,feature
Cell_Intensity_MinIntensityEdge_DNA,feature
Cell_Intensity_MinIntensityEdge_HNF4a,feature
Cell_Intensity_MinIntensityEdge_MT,feature
Cell_Intensity_MinIntensityEdge_lipid,feature
Cell_Intensity_MinIntensity_Cellmask,feature
Cell_Intensity_MinIntensity_DNA,feature
Cell_Intensity_MinIntensity_HNF4a,feature
Cell_Intensity_MinIntensity_MT,feature
Cell_Intensity_MinIntensity_lipid,feature
Cell_Intensity_StdIntensityEdge_Cellmask,feature
Cell_Intensity_StdIntensityEdge_DNA,feature
Cell_Intensity_StdIntensityEdge_HNF4a,feature
Cell_Intensity_StdIntensityEdge_MT,feature
Cell_Intensity_StdIntensityEdge_lipid,feature
Cell_Intensity_StdIntensity_Cellmask,feature
Cell_Intensity_StdIntensity_DNA,feature
Cell_Intensity_StdIntensity_HNF4a,feature
Cell_Intensity_StdIntensity_MT,feature
Cell_Intensity_StdIntensity_lipid,feature
Cell_Intensity_UpperQuartileIntensity_Cellmask,feature
Cell_Intensity_UpperQuartileIntensity_DNA,feature
Cell_Intensity_UpperQuartileIntensity_HNF4a,feature
Cell_Intensity_UpperQuartileIntensity_MT,feature
Cell_Intensity_UpperQuartileIntensity_lipid,feature
Cell_Location_CenterMassIntensity_X_Cellmask,feature
Cell_Location_CenterMassIntensity_X_DNA,feature
Cell_Location_CenterMassIntensity_X_HNF4a,feature
Cell_Location_CenterMassIntensity_X_MT,feature
Cell_Location_CenterMassIntensity_X_lipid,feature
Cell_Location_CenterMassIntensity_Y_Cellmask,feature
Cell_Location_CenterMassIntensity_Y_DNA,feature
Cell_Location_CenterMassIntensity_Y_HNF4a,feature
Cell_Location_CenterMassIntensity_Y_MT,feature
Cell_Location_CenterMassIntensity_Y_lipid,feature
Cell_Location_CenterMassIntensity_Z_Cellmask,feature
Cell_Location_CenterMassIntensity_Z_DNA,feature
Cell_Location_CenterMassIntensity_Z_HNF4a,feature
Cell_Location_CenterMassIntensity_Z_MT,feature
Cell_Location_CenterMassIntensity_Z_lipid,feature
Cell_Mean_Mito_spot_AreaShape_Area,feature
Cell_Mean_Mito_spot_AreaShape_Area.1,feature
Cell_Mean_Mito_spot_AreaShape_BoundingBoxArea,feature
Cell_Mean_Mito_spot_AreaShape_BoundingBoxArea.1,feature
Cell_Mean_Mito_spot_AreaShape_BoundingBoxMaximum_X,feature
Cell_Mean_Mito_spot_AreaShape_BoundingBoxMaximum_X.1,feature
Cell_Mean_Mito_spot_AreaShape_BoundingBoxMaximum_Y,feature
Cell_Mean_Mito_spot_AreaShape_BoundingBoxMaximum_Y.1,feature
Cell_Mean_Mito_spot_AreaShape_BoundingBoxMinimum_X,feature
Cell_Mean_Mito_spot_AreaShape_BoundingBoxMinimum_X.1,feature
Cell_Mean_Mito_spot_AreaShape_BoundingBoxMinimum_Y,feature
Cell_Mean_Mito_spot_AreaShape_BoundingBoxMinimum_Y.1,feature
Cell_Mean_Mito_spot_AreaShape_Center_X,metadata
Cell_Mean_Mito_spot_AreaShape_Center_X.1,metadata
Cell_Mean_Mito_spot_AreaShape_Center_Y,metadata
Cell_Mean_Mito_spot_AreaShape_Center_Y.1,metadata
Cell_Mean_Mito_spot_AreaShape_Compactness,feature
Cell_Mean_Mito_spot_AreaShape_Compactness.1,feature
Cell_Mean_Mito_spot_AreaShape_ConvexArea,feature
Cell_Mean_Mito_spot_AreaShape_ConvexArea.1,feature
Cell_Mean_Mito_spot_AreaShape_Eccentricity,feature
Cell_Mean_Mito_spot_AreaShape_Eccentricity.1,feature
Cell_Mean_Mito_spot_AreaShape_EquivalentDiameter,feature
Cell_Mean_Mito_spot_AreaShape_EquivalentDiameter.1,feature
Cell_Mean_Mito_spot_AreaShape_EulerNumber,feature
Cell_Mean_Mito_spot_AreaShape_EulerNumber.1,feature
Cell_Mean_Mito_spot_AreaShape_Extent,feature
Cell_Mean_Mito_spot_AreaShape_Extent.1,feature
Cell_Mean_Mito_spot_AreaShape_FormFactor,feature
Cell_Mean_Mito_spot_AreaShape_FormFactor.1,feature
Cell_Mean_Mito_spot_AreaShape_MajorAxisLength,feature
Cell_Mean_Mito_spot_AreaShape_MajorAxisLength.1,feature
Cell_Mean_Mito_spot_AreaShape_MaxFeretDiameter,feature
Cell_Mean_Mito_spot_AreaShape_MaxFeretDiameter.1,feature
Cell_Mean_Mito_spot_AreaShape_MaximumRadius,feature
Cell_Mean_Mito_spot_AreaShape_MaximumRadius.1,feature
Cell_Mean_Mito_spot_AreaShape_MeanRadius,feature
Cell_Mean_Mito_spot_AreaShape_MeanRadius.1,feature
Cell_Mean_Mito_spot_AreaShape_MedianRadius,feature
Cell_Mean_Mito_spot_AreaShape_MedianRadius.1,feature
Cell_Mean_Mito_spot_AreaShape_MinFeretDiameter,feature
Cell_Mean_Mito_spot_AreaShape_MinFeretDiameter.1,feature
Cell_Mean_Mito_spot_AreaShape_MinorAxisLength,feature
Cell_Mean_Mito_spot_AreaShape_MinorAxisLength.1,feature
Cell_Mean_Mito_spot_AreaShape_Orientation,feature
Cell_Mean_Mito_spot_AreaShape_Orientation.1,feature
Cell_Mean_Mito_spot_AreaShape_Perimeter,feature
Cell_Mean_Mito_spot_AreaShape_Perimeter.1,feature
Cell_Mean_Mito_spot_AreaShape_Solidity,feature
Cell_Mean_Mito_spot_AreaShape_Solidity.1,feature
Cell_Mean_Mito_spot_Distance_Centroid_Cell,feature
Cell_Mean_Mito_spot_Intensity_IntegratedIntensityEdge_MT,feature
Cell_Mean_Mito_spot_Intensity_IntegratedIntensity_MT,feature
Cell_Mean_Mito_spot_Intensity_LowerQuartileIntensity_MT,feature
Cell_Mean_Mito_spot_Intensity_MADIntensity_MT,feature
Cell_Mean_Mito_spot_Intensity_MassDisplacement_MT,feature
Cell_Mean_Mito_spot_Intensity_MaxIntensityEdge_MT,feature
Cell_Mean_Mito_spot_Intensity_MaxIntensity_MT,feature
Cell_Mean_Mito_spot_Intensity_MeanIntensityEdge_MT,feature
Cell_Mean_Mito_spot_Intensity_MeanIntensity_MT,feature
Cell_Mean_Mito_spot_Intensity_MedianIntensity_MT,feature
Cell_Mean_Mito_spot_Intensity_MinIntensityEdge_MT,feature
Cell_Mean_Mito_spot_Intensity_MinIntensity_MT,feature
Cell_Mean_Mito_spot_Intensity_StdIntensityEdge_MT,feature
Cell_Mean_Mito_spot_Intensity_StdIntensity_MT,feature
Cell_Mean_Mito_spot_Intensity_UpperQuartileIntensity_MT,feature
Cell_Mean_Mito_spot_Location_CenterMassIntensity_X_MT,feature
Cell_Mean_Mito_spot_Location_CenterMassIntensity_Y_MT,feature
Cell_Mean_Mito_spot_Location_CenterMassIntensity_Z_MT,feature
Cell_Mean_Mito_spot_Location_Center_X,metadata
Cell_Mean_Mito_spot_Location_Center_Y,metadata
Cell_Mean_Mito_spot_Location_Center_Z,metadata
Cell_Mean_Mito_spot_Location_MaxIntensity_X_MT,feature
Cell_Mean_Mito_spot_Location_MaxIntensity_Y_MT,feature
Cell_Mean_Mito_spot_Location_MaxIntensity_Z_MT,feature
Cell_Mean_Mito_spot_Number_Object_Number,metadata
Cell_Mean_droplets_AreaShape_Area,feature
Cell_Mean_droplets_AreaShape_BoundingBoxArea,feature
Cell_Mean_droplets_AreaShape_BoundingBoxMaximum_X,feature
Cell_Mean_droplets_AreaShape_BoundingBoxMaximum_Y,feature
Cell_Mean_droplets_AreaShape_BoundingBoxMinimum_X,feature
Cell_Mean_droplets_AreaShape_BoundingBoxMinimum_Y,feature
Cell_Mean_droplets_AreaShape_Center_X,metadata
Cell_Mean_droplets_AreaShape_Center_Y,metadata
Cell_Mean_droplets_AreaShape_Compactness,feature
Cell_Mean_droplets_AreaShape_ConvexArea,feature
